Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c,Id
United States,a00i000000SVR9NAAX,Dec,2016,4787773586,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk3EAD
United States,a00i000000SVR9NAAX,Feb,2016,235136080,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvibEAD
United States,a00i000000SVR9NAAX,Feb,2016,2805530823,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjtEAD
United States,a00i000000SVR9NAAX,Jan,2016,122904762,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviaEAD
United States,a00i000000SVR9NAAX,Jan,2016,2268989797,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjsEAD
United States,a00i000000SVR9NAAX,Jul,2016,287619324,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvigEAD
United States,a00i000000SVR9NAAX,Jul,2016,109737662,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj5EAD
United States,a00i000000SVR9NAAX,Jul,2016,2948746240,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjyEAD
United States,a00i000000SVR9NAAX,Jun,2016,459671360,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvifEAD
United States,a00i000000SVR9NAAX,Jun,2016,4586156285,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjxEAD
United States,a00i000000SVR9NAAX,Mar,2016,328851203,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvicEAD
United States,a00i000000SVR9NAAX,Mar,2016,4852495852,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjuEAD
United States,a00i000000SVR9NAAX,May,2016,229143630,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvieEAD
United States,a00i000000SVR9NAAX,May,2016,2922106125,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjwEAD
United States,a00i000000SVR9NAAX,Nov,2016,140701643,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvikEAD
United States,a00i000000SVR9NAAX,Nov,2016,54171000,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj9EAD
United States,a00i000000SVR9NAAX,Nov,2016,3696379194,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk2EAD
United States,a00i000000SVR9NAAX,Oct,2016,195969098,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvijEAD
United States,a00i000000SVR9NAAX,Oct,2016,37613199,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj8EAD
United States,a00i000000SVR9NAAX,Oct,2016,2794967590,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk1EAD
United States,a00i000000SVR9NAAX,Sep,2016,159786817,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviiEAD
United States,a00i000000SVR9NAAX,Sep,2016,10969910,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj7EAD
United States,a00i000000SVR9NAAX,Sep,2016,2171323296,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk0EAD
