Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c,Id,Name
United States,a00i000000SVR8tAAH,Feb,2016,3819562,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjhEAD,FR-23771
United States,a00i000000SVR8tAAH,Jan,2016,436649,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviJEAT,FR-23695
United States,a00i000000SVR8tAAH,Jan,2016,2016146,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjgEAD,FR-23770
United States,a00i000000SVR8tAAH,Jul,2016,807322.8,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviPEAT,FR-23701
United States,a00i000000SVR8tAAH,Jul,2016,5103103,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjmEAD,FR-23776
United States,a00i000000SVR8tAAH,Jun,2016,782990.7,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviOEAT,FR-23700
United States,a00i000000SVR8tAAH,Jun,2016,5055364,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjlEAD,FR-23775
United States,a00i000000SVR8tAAH,Mar,2016,957390.6,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviLEAT,FR-23697
United States,a00i000000SVR8tAAH,Mar,2016,4820471,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjiEAD,FR-23772
United States,a00i000000SVR8tAAH,May,2016,1011220,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviNEAT,FR-23699
United States,a00i000000SVR8tAAH,May,2016,5939141,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjkEAD,FR-23774
United States,a00i000000SVR8tAAH,Nov,2016,910388.2,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviYEAT,FR-23705
United States,a00i000000SVR8tAAH,Nov,2016,3895000,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjqEAD,FR-23780
United States,a00i000000SVR8tAAH,Oct,2016,685388.2,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviXEAT,FR-23704
United States,a00i000000SVR8tAAH,Oct,2016,3717086,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjpEAD,FR-23779
United States,a00i000000SVR8tAAH,Sep,2016,443400,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviWEAT,FR-23703
United States,a00i000000SVR8tAAH,Sep,2016,264428.1,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj4EAD,FR-23737
United States,a00i000000SVR8tAAH,Sep,2016,4806094,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjoEAD,FR-23778
United States,a00i000000SVR9NAAX,Apr,2016,330217.3,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvidEAD,FR-23710
United States,a00i000000SVR9NAAX,Apr,2016,2870150,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjvEAD,FR-23785
