Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c
United States,a00i000000SVQyAAAX,Sep,2016,7388027356,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVQyAAAX,Oct,2016,6897064000,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVQyAAAX,Nov,2016,5590623000,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVQyAAAX,Dec,2016,4774937000,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR8tAAH,Jan,2016,2016145779,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR8tAAH,Feb,2016,3819610569,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR8tAAH,Mar,2016,4821917095,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR8tAAH,Apr,2016,4507769452,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR8tAAH,May,2016,5939141276,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR8tAAH,Jun,2016,5055363912,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR8tAAH,Jul,2016,5103102604,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR8tAAH,Aug,2016,4865612281,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR8tAAH,Sep,2016,4806093916,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR8tAAH,Oct,2016,3717085625,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR8tAAH,Nov,2016,3895000000,USD,Cartesis,Q3RF 2016,Xaxis,Market
United States,a00i000000SVR8tAAH,Dec,2016,4139642938,USD,Cartesis,Q3RF 2016,Xaxis,Market
