External_ID__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,RecordTypeId,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Frequency_Cap__c,Frequency_Scope__c,Id,Special_Product__c,Target_Age_Freeform_Entry__c,Target_Gender__c
Netherlands Reference number: 20160345,"May 23, 2016","Jun 5, 2016",10580.8,Combi Video pakket; 50% van de impressies op Desktop en 50% van de impressies op Mobile In-app. Voor beide devices een cap van 2 hanteren.,Net Cost (Calc Margin),012i0000001EB0nAAG,846464,0,Externally Managed,,12.5,CPM,2,Per campaign,0063100000fJYl2AAG,Video - Preroll 20s,18-34,Male
Netherlands Reference number: 20160346,"Jun 12, 2016","Jun 26, 2016",7650,Combi Video pakket; 50% van de impressies op Desktop en 50% van de impressies op Mobile In-app. Voor beide devices een cap van 2 hanteren.,Net Cost (Calc Margin),012i0000001EB0nAAG,612000,0,Externally Managed,,12.5,CPM,2,Per campaign,0063100000fJYl2AAG,Video - Preroll 20s,18-34,Male
Netherlands Reference number: 20160337,"May 23, 2016","Jun 23, 2016",18563.4,"Hanteer een cap van 2 per week en 4 in totaal, uitgesteld tot de 27e",Net Cost (Calc Margin),012i0000001EB0nAAG,1375067,0,Externally Managed,,13.5,CPM,4,Per campaign,0063100000fJYYaAAO,Video - Preroll 20s,25-45,Female
Netherlands Reference number: 20160338,"May 23, 2016","Jun 23, 2016",11764.68,"Hanteer een cap van 2 per week en 4 in totaal, uitgesteld tot de 27e",Net Cost (Calc Margin),012i0000001EB0nAAG,1023016,0,Externally Managed,,11.5,CPM,4,Per campaign,0063100000fJYYaAAO,Mobile - Video,25-45,Female
Netherlands Reference number: 20160173,"Apr 11, 2016","Apr 30, 2016",13656.94,gevraagd of de doelgroep verbreed kan worden.,Net Cost (Calc Margin),012i0000001EB0nAAG,1011625,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYbAAO,Video - Preroll 20s,30-49,Female
Netherlands Reference number: 20160250,"Apr 18, 2016","May 8, 2016",30525.81,Britvic_Fruitshoot_De Dropping_Online_April-Oktober_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,1744332,0,Externally Managed,"Graag 2 line items opzetten: 1) Turbine segment Family & Parenting_Parenting kids + Vrouwen 30-50 jaar en 2) Vrouwen 30-50 jaar. Hoogste prioriteit gaat uit naar line item 1. De verwachting is dat we te weinig users terugvinden, vandaar prioriteit 2. Sturen naar hoge viewability : Family & Parenting_Parenting kids",17.5,CPM,1,Per campaign,0063100000fJYYcAAO,Rich Media - Skin,30-50,Female
Netherlands Reference number: 20160251,"Apr 18, 2016","May 8, 2016",21000.95,Britvic_Fruitshoot_De Dropping_Online_April-Oktober_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,2800127,0,Externally Managed,,7.5,CPM,1,Per campaign,0063100000fJYYcAAO,Mobile - Interstitial smartphone,30-50,Female
Netherlands Reference number: 20160252,"Apr 18, 2016","May 8, 2016",2581.73,Cap van 3 per Sync moment. Sync momenten staan gepland op iedere dag vanaf 22 april - zie mail 21 april van Cynthia. Graag cappen op 500.000 impressies per Sync moment.,Net Cost (Calc Margin),012i0000001EB0nAAG,860576,0,Externally Managed,,3,CPM,,,0063100000fJYYcAAO,Display - Sync,,
Netherlands Reference number: 20160460,"Aug 15, 2016","Sep 4, 2016",16380.35,Britvic_Fruitshoot_OLV_Augustus_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,1424378,0,Externally Managed,,11.5,CPM,3,Per campaign,0063100000fJYYdAAO,Mobile - Video,20-49,Female
Netherlands Reference number: 20160380,"Jun 10, 2016","Jul 9, 2016",4250,MAX-132034-2016-0297 -- Byron Bay,Net Cost (Calc Margin),012i0000001EB0nAAG,340000,0,Externally Managed,"Combi Video pakket; 50% van de impressies op Desktop en 50% van de impressies op Mobile In-app. Voor beide devices een cap van 3 hanteren. Hoge druk op don/vrij/zat & lichte druk op zon-woe. (Sturing op weer, hogere druk op zonnige dagen.) 24-6: campagne tot 30-6 on hold, daarna max leveren",12.5,CPM,3,Per campaign,0063100000fJYYeAAO,Video - Preroll 20s,20-40,Female
Netherlands Reference number: 20160091,"Mar 14, 2016","Mar 27, 2016",11561.94,Cap van 3 in totaal,Net Cost (Calc Margin),012i0000001EB0nAAG,856440,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYfAAO,Video - Preroll 20s,29-55,
Netherlands Reference number: 20160196,"Mar 22, 2016","Mar 27, 2016",1201.29,MEC-120155-2016-0178 -- 2016.LINDT.EASTER.0304.OLV-1.0,Net Cost (Calc Margin),012i0000001EB0nAAG,104460,0,Externally Managed,,11.5,CPM,2,Per campaign,0063100000fJYYfAAO,Mobile - Video,29-55,
Netherlands Reference number: 20160480,"Aug 28, 2016","Sep 20, 2016",3304.8,"Desktop en Tablet. Alleen live op maandag tussen 00:00 - 19:00 uur op basis van een cap van 4 per dag (max. 1 vertoning per uur)! : Arts&Entertainment_Music en Hobbies&Interests_Radio / Interest, Predicted Interest en Intent / High, Medium en Low",Net Cost (Calc Margin),012i0000001EB0nAAG,1201745,0,Externally Managed,,2.75,CPM,4,Per campaign,0063100000fJYYgAAO,Display - Standard,,
Netherlands Reference number: 20160481,"Aug 28, 2016","Sep 20, 2016",2800,"Desktop en Tablet. Alleen live op maandag tussen 19:00 - 21:00 uur op basis van een cap van 1 per dag! : Arts&Entertainment_Music en Hobbies&Interests_Radio / Interest, Predicted Interest en Intent / High, Medium en Low",Net Cost (Calc Margin),012i0000001EB0nAAG,200000,0,Externally Managed,,14,CPM,1,Per campaign,0063100000fJYYgAAO,Display - Frequency booster,,
Netherlands Reference number: 20160478,"Aug 28, 2016","Sep 20, 2016",1377,"Desktop en Tablet. Alleen live op zondag tussen 00:00 - 12:00 uur op basis van een cap van 3 per dag! : Arts&Entertainment_Music en Hobbies&Interests_Radio / Interest, Predicted Interest en Intent / High, Medium en Low",Net Cost (Calc Margin),012i0000001EB0nAAG,500727,0,Externally Managed,,2.75,CPM,3,Per campaign,0063100000fJYYhAAO,Display - Standard,,
Netherlands Reference number: 20160479,"Aug 28, 2016","Sep 20, 2016",1119.96,"Desktop en Tablet. Alleen live op zondag tussen 00:00 - 12:00 uur op basis van een cap van 2 per dag! : Arts&Entertainment_Music en Hobbies&Interests_Radio / Interest, Predicted Interest en Intent / High, Medium en Low",Net Cost (Calc Margin),012i0000001EB0nAAG,79997,0,Externally Managed,,14,CPM,2,Per campaign,0063100000fJYYhAAO,Display - Frequency booster,,
Netherlands Reference number: 20160102,"Mar 7, 2016","Dec 31, 2016",31050.3,MBA-129135-2016-0058 -- Tankpas,Net Cost (Calc Margin),012i0000001EB0nAAG,5175050,0,Externally Managed,"Swipe Cube. Er worden 2 flights ingezet. Flight 1: 7 maart t/m 31 mei 2016, 3.052.044 gerealiseerde impressies. Flight 2: 1 september t/m 30 november 2016, 2.347.956 impressies. Per flight geldt een cap van 3. Geo-targeting. Graag op de volgende tactics inzetten: 1) bouwmarkten, 2) flexplekken, 3) Macro’s, 4) Sligro’s, 5) grote bedrijventerreinen. 19-4: Graag 500.000 impressies van de eerste flight verschuiven van geo-targeting naar inzet op Mannen 35-49 jaar met een cap van 3.",6,CPM,3,Per campaign,0063100000fJYYiAAO,Mobile - Halfpage ad,,
Netherlands Reference number: 20160005,"Jan 10, 2016","Jan 21, 2016",8564.47,Keukenkampioen - Koopnacht 2015,Net Cost (Calc Margin),012i0000001EB0nAAG,634405,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYjAAO,Video - Preroll 20s,35-49,
Netherlands Reference number: 20160082,"Jan 31, 2016","Feb 6, 2016",5446.31,Let op!  Zondag starten na 18:00 uur t/m zaterdag 19:00 uur,Net Cost (Calc Margin),012i0000001EB0nAAG,403430,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYkAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160040,"Feb 7, 2016","Feb 12, 2016",2935.35,KeukenConcurrent_OLV_Week 6_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,217433,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYlAAO,Video - Preroll 20s,20-34,
Netherlands Reference number: 20160107,"Feb 21, 2016","Feb 25, 2016",5445.94,KeukenKampioen - OLV - Week 8_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,403403,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYmAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160139,"Feb 28, 2016","Mar 12, 2016",8919.79,Mandemakers Keukens - OLV - Week 8-10_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,660725,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYnAAO,Video - Preroll 20s,35-49,
Netherlands Reference number: 20160175,"Mar 13, 2016","Mar 17, 2016",6718.99,KeukenKampioen - OLV - Week 10_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,497703,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYoAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160164,"Mar 10, 2016","Mar 19, 2016",8692.29,KeukenConcurrent_OLV_Week,Net Cost (Calc Margin),012i0000001EB0nAAG,643873,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYpAAO,Video - Preroll 20s,20-34,
Netherlands Reference number: 20160170,"Mar 13, 2016","Mar 27, 2016",6844.47,Deze campagne is verlengd tot 27 maart ipv 26 maart.,Net Cost (Calc Margin),012i0000001EB0nAAG,506998,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYqAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160209,"Apr 3, 2016","Apr 8, 2016",5761.91,KeukenKampioen_OLV_Week,Net Cost (Calc Margin),012i0000001EB0nAAG,426808,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYrAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160205,"Apr 7, 2016","Apr 16, 2016",10549.51,KeukenConcurrent_OLV_Week 14-15_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,781445,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYsAAO,Video - Preroll 20s,20-34,
Netherlands Reference number: 20160229,"Apr 10, 2016","Apr 23, 2016",6844.47,Brugman_OLV_Week 15-16_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,506998,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYtAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160307,"May 15, 2016","May 28, 2016",3422.24,De Keukenman_Brugman Keukens_OLV_Mei_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,253499,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYuAAO,Video - Preroll 20s,35-49,Female
Netherlands Reference number: 20160006,"Jan 4, 2016","Jan 17, 2016",6036.05,Start campagne na 18:00,Net Cost (Calc Margin),012i0000001EB0nAAG,447115,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYVAA4,Video - Preroll 20s,25-34,
Netherlands Reference number: 20160344,"May 22, 2016","May 28, 2016",6279.39,De Keukenman_KeukenKampioen_OLV_Mei_2016,Net Cost (Calc Margin),012i0000001EB0nAAG,465140,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYvAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160048,"Jan 27, 2016","Feb 14, 2016",9053.99,2016.Eneco_Toon_jan-feb,Net Cost (Calc Margin),012i0000001EB0nAAG,670666,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYWAA4,Video - Preroll 20s,25-34,
Netherlands Reference number: 20160362,"May 30, 2016","Jun 3, 2016",5289.83,Smartphone web is aangezet,Net Cost (Calc Margin),012i0000001EB0nAAG,391839,0,Externally Managed,,13.5,CPM,3,Per campaign,0063100000fJYYwAAO,Video - Preroll 20s,20-34,
Netherlands Reference number: 20160394,"Jun 21, 2016","Aug 31, 2016",5011,100.000 compensatie impressies aan deze campagne toevoegen. Targeten op Zeeland en Noord-Brabant,Net Cost (Calc Margin),012i0000001EB0nAAG,1822182,0,Externally Managed,,2.75,CPM,6,Per campaign,0063100000fJYYXAA4,Display - Standard,,
Netherlands Reference number: 20160395,"Jun 21, 2016","Aug 31, 2016",10021.98,Targeten op Zeeland en Noord-Brabant,Net Cost (Calc Margin),012i0000001EB0nAAG,715856,0,Externally Managed,,14,CPM,6,Per campaign,0063100000fJYYXAA4,Display - Frequency booster,,
Netherlands Reference number: 20160386,"Jun 17, 2016","Jun 23, 2016",5335.1,Combi Video pakket; 50% van de impressies op Desktop en 50% van de impressies op Mobile (In-app en web). Frequency cap van 3 per device (3 op dekstop en 3 op smartphone).,Net Cost (Calc Margin),012i0000001EB0nAAG,426808,0,Externally Managed,,12.5,CPM,3,Per campaign,0063100000fJYYxAAO,Video - Preroll 20s,20-49,Female
Netherlands Reference number: 20160187,"Mar 21, 2016","Nov 6, 2016",3513.7,Koopzondagen,Net Cost (Calc Margin),012i0000001EB0nAAG,1277710,0,Externally Managed,"Targeting on 18-44 year, Turbine segments and Provinces Zeeland + Noord Brabant (only: Steenbergen, Zevenbergen, Bergen-op-Zoom, Roosendaal). Flights: 1) 21 mrt-3 apr (253.818 impressies), 2) 11 apr-1 mei (262.438 + 143.449 impressies van de vorige flight = 405.887), 3) 23 mei-5 juni (253.818 impressies), 4) 22 aug-4 sep (253.818 impressies), 5) 24 okt-6 nov (253.818 impressies). 07 apr: demographic targeting (18-44 jaar) hoeft niet meer toegepast te worden vanaf de tweede flight. : Style & Fashion and News",2.75,CPM,3,Per campaign,0063100000fJYYYAA4,Display - Standard,,
Netherlands Reference number: 20160388,"Jun 27, 2016","Jul 3, 2016",4897.98,Combi Video pakket. 50% van de impressies op Desktop en 50% van de impressies op Mobile In-app,Net Cost (Calc Margin),012i0000001EB0nAAG,391838,0,Externally Managed,,12.5,CPM,3,Per campaign,0063100000fJYYyAAO,Video - Preroll 20s,20-34,
