Opportunity__c,External_ID__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,RecordTypeId,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Frequency_Cap__c,Frequency_Scope__c,Special_Product__c,Target_Age_Freeform_Entry__c,Target_Gender__c
0063100000fJYbBAAW,Netherlands: 20160311,"May 17, 2016","Jun 5, 2016",5250,MAX-128858-2016-0227 -- Zalando OLV - NL-BE Flanders - May June 2016 -SS16 flight 3,Net Cost (Calc Margin),012i0000001EB0nAAG,210000,0,Externally Managed,Gelijkmatige uitlevering van de impressies over de dagen. De hosting van de video vindt plaats in het Xaxis account. De trackers van Zalando worden verwerkt door GroupM Traffic tezamen met de trackers van Maxus-Helder.  Xaxis plaatst dan weer de trackers van GroupM in het Xaxis account zodat alle 3 de partijen mee kunnen meten. : Style & Fashion,25,CPM,3,Per campaign,Video - Preroll 20s,,
0063100000fJYb6AAG,Netherlands: 20160130,"Feb 22, 2016","Mar 20, 2016",22930.99,"BE inzet: Targeting: 60% Vlaanderen - 40% Wallonie, 60% Vrouwen 40% Mannen. Graag aparte line items aanmaken. Graag kwalitatieve inzet aangezien complete sitelist (eenmalig) moet worden verstuurd.",Net Cost (Calc Margin),012i0000001EB0nAAG,1348882,0,Externally Managed,,17,CPM,3,Per campaign,Video - Preroll 20s,20-39,
0063100000fJYiMAAW,Netherlands: 20160125,"Apr 18, 2016","Apr 29, 2016",1201.2,Uitlevering desktop + tablet doelgroep vrouwen stad Utrecht (straal 15km),Net Cost (Calc Margin),012i0000001EB0nAAG,436800,0,Externally Managed,,2.75,CPM,7,Per campaign,Display - Standard,25-65,Female
0063100000fJYifAAG,Netherlands: 20160245,"Apr 18, 2016","May 31, 2016",11999.99,Inzet op Turbine segmenten : Gehele segment Business en subsegment Automotive_Wagon,Net Cost (Calc Margin),012i0000001EB0nAAG,857142,0,Externally Managed,,14,CPM,3,Per campaign,Display - Frequency booster,,
0063100000fJYb2AAG,Netherlands: 20160217,"Apr 1, 2016","Jun 30, 2016",29279.99,Turbine pixels op Volvo site plaatsen - optimaliseren op Audience insight. Gebruikers op landingspagina uitsluiten : Automotive,Net Cost (Calc Margin),012i0000001EB0nAAG,2091428,0,Externally Managed,,14,CPM,,,Display - Frequency booster,,
0063100000fJYauAAG,Netherlands: 20160376,"Jun 2, 2016","Jun 30, 2016",4573.97,GEPL volgt nog,Net Cost (Calc Margin),012i0000001EB0nAAG,609863,0,Externally Managed,,7.5,CPM,1,Per campaign,Mobile - Interstitial smartphone,30-55,
0063100000fJYbTAAW,Netherlands: 20160482,"Sep 1, 2016","Sep 20, 2016",8999.98,MAX-99572-2016-0360 -- Karcher Multi Vac Display - Jul 2016,Net Cost (Calc Margin),012i0000001EB0nAAG,642856,0,Externally Managed,,14,CPM,3,Per campaign,Display - Frequency booster,30-54,Male
0063100000fJYbBAAW,Netherlands: 20160313,"May 17, 2016","Jun 5, 2016",5400,MAX-128858-2016-0227 -- Zalando OLV - NL-BE Flanders - May June 2016 -SS16 flight 3,Net Cost (Calc Margin),012i0000001EB0nAAG,270000,0,Externally Managed,Gelijkmatige uitlevering van de impressies over de dagen. De hosting van de video vindt plaats in het Xaxis account. De trackers van Zalando worden verwerkt door GroupM Traffic tezamen met de trackers van Maxus-Helder.  Xaxis plaatst dan weer de trackers van GroupM in het Xaxis account zodat alle 3 de partijen mee kunnen meten.,20,CPM,3,Per campaign,Video - Preroll 20s,20-39,Female
0063100000fJYilAAG,Netherlands: 20160197,"Apr 26, 2016","May 29, 2016",83996.99,Contactklasse 3-5 aanhouden s.v.p.,Net Cost (Calc Margin),012i0000001EB0nAAG,5999785,0,Externally Managed,,14,CPM,5,Per campaign,Display - Frequency booster,25-54,Male
0063100000fJYbKAAW,Netherlands: 20160191,"Mar 16, 2016","Apr 10, 2016",9999.99,Doelgroep nagevraagd,Net Cost (Calc Margin),012i0000001EB0nAAG,714285,0,Externally Managed,,14,CPM,3,Per campaign,Display - Frequency booster,35-54,Male
