External_ID__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,RecordTypeId,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,CloseDate,Frequency_Cap__c,Frequency_Scope__c,Id,Special_Product__c,StartDate,Target_Age_Freeform_Entry__c,Target_Gender__c
Netherlands Reference number: 20160355,13494.6,- smartphone web,Net Cost (Calc Margin),012i0000001EB0nAAG,1079568,0,Externally Managed,,12.5,CPM,"Jun 29, 2016",3,Per campaign,0063100000fJYazAAG,Video - Preroll 20s,"Jun 6, 2016",25-54,
Netherlands Reference number: 20160286,18500.47,4 mei: Akkoord op test inzet Youtube,Net Cost (Calc Margin),012i0000001EB0nAAG,1370405,0,Externally Managed,,13.5,CPM,"May 15, 2016",3,Per campaign,0063100000fJYaZAAW,Video - Preroll 20s,"May 2, 2016",20-35,
Netherlands Reference number: 20160353,13494.6,"STIVA tijdvak aanhouden, inzet tussen 21:00-06:00 uur. Combi Video pakket; 50% van de impressies op Desktop en 50% van de impressies op Mobile (In-app). Smartphone web mag ingezet worden.",Net Cost (Calc Margin),012i0000001EB0nAAG,1079568,0,Externally Managed,,12.5,CPM,"Aug 7, 2016",3,Per campaign,0063100000fJYb0AAG,Video - Preroll 20s,"Jul 18, 2016",25-54,
Netherlands Reference number: 20160351,13494.6,"STIVA tijdvak aanhouden, inzet tussen 21:00-06:00 uur. Combi Video pakket; 50% van de impressies op Desktop en 50% van de impressies op Mobile (In-app). Smartphone web mag ingezet worden.",Net Cost (Calc Margin),012i0000001EB0nAAG,1079568,0,Externally Managed,,12.5,CPM,"Sep 11, 2016",1,Per week,0063100000fJYb1AAG,Video - Preroll 20s,"Aug 22, 2016",25-54,
Netherlands Reference number: 20160217,29279.99,Turbine pixels op Volvo site plaatsen - optimaliseren op Audience insight. Gebruikers op landingspagina uitsluiten : Automotive,Net Cost (Calc Margin),012i0000001EB0nAAG,2091428,0,Externally Managed,,14,CPM,"Jun 30, 2016",,,0063100000fJYb2AAG,Display - Frequency booster,"Apr 1, 2016",,
Netherlands Reference number: 20160406,29279.99,Look a like segmenten van Volvo,Net Cost (Calc Margin),012i0000001EB0nAAG,2091428,0,Externally Managed,,14,CPM,"Sep 30, 2016",,,0063100000fJYb3AAG,Display - Frequency booster,"Jul 1, 2016",,
Netherlands Reference number: 20150761,5894.79,Turbine pixel op click. Tags+materiaal gebruiken van Flight 1 (20150759).,Net Cost (Calc Margin),012i0000001EB0nAAG,982465,0,Externally Managed,,6,CPM,"Dec 31, 2015",3,Per campaign,0063100000fJYb4AAG,Xaxis Mobile,"Dec 14, 2015",18-35,
Netherlands Reference number: 20150723,4200,"Ook Interessesegmenten: Insurance, Financial planning en Health and Fitness. Turbine pixel op click.",Net Cost (Calc Margin),012i0000001EB0nAAG,700000,0,Externally Managed,,6,CPM,"Dec 31, 2015",3,Per campaign,0063100000fJYb5AAG,Xaxis Mobile,"Dec 14, 2015",35-65,
Netherlands Reference number: 20160128,14000,NL inzet: Targeting: 60% Vrouwen en 40% Mannen. Graag aparte line items aanmaken. Graag kwalitatieve inzet aangezien complete sitelist (eenmalig) moet worden verstuurd.,Net Cost (Calc Margin),012i0000001EB0nAAG,1037037,0,Externally Managed,,13.5,CPM,"Mar 20, 2016",3,Per campaign,0063100000fJYb6AAG,Video - Preroll 20s,"Feb 22, 2016",20-39,
Netherlands Reference number: 20160129,8756,NL inzet: Targeting: 60% Vrouwen en 40% Mannen NL. Graag aparte line items aanmaken. Graag kwalitatieve inzet aangezien complete sitelist (eenmalig) moet worden verstuurd.,Net Cost (Calc Margin),012i0000001EB0nAAG,761391,0,Externally Managed,,11.5,CPM,"Mar 20, 2016",3,Per campaign,0063100000fJYb6AAG,Mobile - Video,"Feb 22, 2016",20-39,
