Opportunity__c,External_Id__c,Product_Detail__C,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Media_Code__c
0063100000fkOaYAAU,NordicOrderID:11228,Xaxis TV,2016-01-01 12:00:00,2016-01-31 12:00:00,36200,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Adfaerd, kvinder + 40",Video
0063100000fkOV2AAM,NordicOrderID:19703,Xaxis TV,2016-09-12 12:00:00,2016-10-09 12:00:00,36200,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Studerende i HT-radet i alderen 20-29ar,Video
0063100000fkOmIAAU,NordicOrderID:19392,Xaxis TV,2016-08-29 12:00:00,2016-09-11 12:00:00,36273,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,National,Video
0063100000fkOffAAE,NordicOrderID:20235,Xaxis TV,2016-09-01 12:00:00,2016-09-30 12:00:00,36395,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - Programmatic - Retargeting + Facebook retargeting,Video
0063100000fkOPjAAM,NordicOrderID:18542,Xaxis TV,2016-07-01 12:00:00,2016-07-31 12:00:00,36573,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
0063100000fkOeaAAE,NordicOrderID:14706,Xaxis TV,2016-03-17 12:00:00,2016-04-24 12:00:00,36604,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Optimeret mod salg (inkl. re-targeting),Video
0063100000fkONGAA2,NordicOrderID:17915,Xaxis TV,2016-06-09 12:00:00,2016-07-24 12:00:00,36757,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Video,Video
0063100000fkOWRAA2,NordicOrderID:38190,Xaxis TV,2016-11-28 12:00:00,2016-12-09 12:00:00,36758,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis Video - Reach,Video
0063100000fkORsAAM,NordicOrderID:31576,Xaxis TV,2016-06-01 12:00:00,2016-12-31 12:00:00,37000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,ConZoom Digital,Video
0063100000fkOMwAAM,NordicOrderID:12299,Xaxis TV,2016-03-03 12:00:00,2016-03-20 12:00:00,37100,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis custom audience,Video
0063100000fkObYAAU,NordicOrderID:38410,Xaxis TV,2016-12-01 12:00:00,2016-12-31 12:00:00,37125,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,RON+RTG,Video
0063100000fkOVtAAM,NordicOrderID:16376,Xaxis TV,2016-04-14 12:00:00,2016-05-08 12:00:00,37200,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,NO DCO,Video
0063100000fkOVzAAM,NordicOrderID:16377,Xaxis TV,2016-04-14 12:00:00,2016-05-08 12:00:00,37200,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,SE DCO,Video
