Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c
UK,a00i0000003u6duAAA,Feb,2016,12086.9,USD,Cartesis,Q3RF 2016,Light Reaction,Market
UK,a00i0000003u6duAAA,Mar,2016,56748.6,USD,Cartesis,Q3RF 2016,Light Reaction,Market
UK,a00i0000003u6duAAA,Apr,2016,32588.75,USD,Cartesis,Q3RF 2016,Light Reaction,Market
UK,a00i0000003u6duAAA,May,2016,114721.7,USD,Cartesis,Q3RF 2016,Light Reaction,Market
UK,a00i0000003u6duAAA,Jun,2016,252202.1,USD,Cartesis,Q3RF 2016,Light Reaction,Market
UK,a00i0000003u6duAAA,Jul,2016,486762,USD,Cartesis,Q3RF 2016,Light Reaction,Market
UK,a00i0000003u6duAAA,Aug,2016,466982.5,USD,Cartesis,Q3RF 2016,Light Reaction,Market
UK,a00i0000003u6duAAA,Sep,2016,416723.7,USD,Cartesis,Q3RF 2016,Light Reaction,Market
UK,a00i0000003u6duAAA,Oct,2016,401437.6,USD,Cartesis,Q3RF 2016,Light Reaction,Market
UK,a00i0000003u6duAAA,Nov,2016,495814,USD,Cartesis,Q3RF 2016,Light Reaction,Market
UK,a00i0000003u6duAAA,Dec,2016,536298.5,USD,Cartesis,Q3RF 2016,Light Reaction,Market
South Africa,a003100000gAWnyAAG,Apr,2016,29817.24,USD,Cartesis,Q3RF 2016,Xaxis,Market
South Africa,a003100000gAWnyAAG,May,2016,66571.06,USD,Cartesis,Q3RF 2016,Xaxis,Market
South Africa,a003100000gAWnyAAG,Jun,2016,94544.81,USD,Cartesis,Q3RF 2016,Xaxis,Market
South Africa,a003100000gAWnyAAG,Jul,2016,106918.9,USD,Cartesis,Q3RF 2016,Xaxis,Market
South Africa,a003100000gAWnyAAG,Aug,2016,130079.6,USD,Cartesis,Q3RF 2016,Xaxis,Market
South Africa,a003100000gAWnyAAG,Sep,2016,153475.7,USD,Cartesis,Q3RF 2016,Xaxis,Market
South Africa,a003100000gAWnyAAG,Oct,2016,111544.1,USD,Cartesis,Q3RF 2016,Xaxis,Market
South Africa,a003100000gAWnyAAG,Nov,2016,126162.8,USD,Cartesis,Q3RF 2016,Xaxis,Market
South Africa,a003100000gAWnyAAG,Dec,2016,104534.9,USD,Cartesis,Q3RF 2016,Xaxis,Market
Norway,a00i000000GIJlEAAX,Jun,2016,596.0346,USD,Cartesis,Q3RF 2016,plista,Market
Norway,a00i000000GIJlEAAX,Jul,2016,59.37692,USD,Cartesis,Q3RF 2016,plista,Market
Norway,a00i000000GIJlEAAX,Aug,2016,89.30384,USD,Cartesis,Q3RF 2016,plista,Market
Norway,a00i000000GIJlEAAX,Sep,2016,6650.812,USD,Cartesis,Q3RF 2016,plista,Market
Norway,a00i000000GIJlEAAX,Oct,2016,4694.115,USD,Cartesis,Q3RF 2016,plista,Market
Norway,a00i000000GIJlEAAX,Nov,2016,49480.77,USD,Cartesis,Q3RF 2016,plista,Market
Norway,a00i000000GIJlEAAX,Dec,2016,32192.31,USD,Cartesis,Q3RF 2016,plista,Market
Portugal,a00i000000GIJlGAAX,Jan,2016,5295.465,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Portugal,a00i000000GIJlGAAX,Feb,2016,17098.71,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Portugal,a00i000000GIJlGAAX,Mar,2016,22803.82,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Portugal,a00i000000GIJlGAAX,Apr,2016,27777.11,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Portugal,a00i000000GIJlGAAX,May,2016,25010.36,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Portugal,a00i000000GIJlGAAX,Jun,2016,68161.25,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Portugal,a00i000000GIJlGAAX,Jul,2016,55459,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Portugal,a00i000000GIJlGAAX,Aug,2016,27474.86,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Portugal,a00i000000GIJlGAAX,Sep,2016,80851.32,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Portugal,a00i000000GIJlGAAX,Oct,2016,60791,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Portugal,a00i000000GIJlGAAX,Nov,2016,54875.53,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Portugal,a00i000000GIJlGAAX,Dec,2016,32734.89,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Austria,a00i000000GIJl7AAH,Jan,2016,191461.5,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Austria,a00i000000GIJl7AAH,Feb,2016,351163.6,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Austria,a00i000000GIJl7AAH,Mar,2016,462399.3,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Austria,a00i000000GIJl7AAH,Apr,2016,391373.9,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Austria,a00i000000GIJl7AAH,May,2016,450525.2,USD,Cartesis,Q3RF 2016,Light Reaction,Market
